id;nome;descrizione;attivo;logo;logo_content_type;logo_nome;ristoratore_id
1;avalanche simple gosh;boldly birdcage;false;../fake-data/blob/hipster.png;image/png;yieldingly ajar towards;1
2;out surprisingly;endow supposing woot;false;../fake-data/blob/hipster.png;image/png;ecliptic midst;2
3;growing supposing;for thorough slope;true;../fake-data/blob/hipster.png;image/png;likewise;2
4;afore lashes bitterly;plain circa character;false;../fake-data/blob/hipster.png;image/png;tool;2
5;sand;greatly;false;../fake-data/blob/hipster.png;image/png;pfft;1
6;proceed nice leading;informal since notwithstanding;false;../fake-data/blob/hipster.png;image/png;aw toaster whoa;1
7;meh whenever utilization;excepting analogy;false;../fake-data/blob/hipster.png;image/png;ack standard;2
8;livid old-fashioned;valiantly embarrassment ready;false;../fake-data/blob/hipster.png;image/png;finished;2
9;angle likewise curiously;quizzically;false;../fake-data/blob/hipster.png;image/png;until;2
10;huzzah amid tightly;yieldingly;false;../fake-data/blob/hipster.png;image/png;bulky;1
