id;attivo;nome;descrizione;prezzo;menu_id
1;false;perfumed verve ha;printer but;18815.85;1
2;false;shakily pish queasily;by quirkily;3917.74;2
3;true;finally;psst geez swiftly;2773.82;3
4;false;after lest above;nucleotidase;12773.81;4
5;true;grouchy shameful;boohoo mainstream psst;24657.63;5
6;false;wherever though;pixellate;9557.93;6
7;false;beneath ew;boo acidly;29735.17;7
8;false;excepting inasmuch wedge;bah oh an;9067.99;8
9;false;including within obscure;absolve unlucky restructure;29610.34;9
10;true;meanwhile uh-huh sightseeing;reproachfully anenst;4776.26;10
